abdominal	abdominalt
halvrund	halvrundt
halvskadd	halvskadd
halvspilt	halvspilt
halvspist	halvspist
halvstor	halvstort
halvsøt	halvsøtt
halvtom	halvtomt
halvtoms	halvtoms
halvtårs	halvtårs
halvtømt	halvtømt
halvtørr	halvtørt
halvvarm	halvvarmt
halvveges	halvveges
halvvegs	halvvegs
halvveis	halvveis
halvvokst	halvvokst
halvvåken	halvvåkent
halvåpen	halvåpent
halvårig	halvårig
halvårlig	halvårlig
hamburgsk	hamburgsk
hamittisk	hamittisk
hamsunsk	hamsunsk
handfast	handfast
handflika	handflika
handfri	handfritt
handgjort	handgjort
handholdt	handholdt
handlaga	handlaga
handlagd	handlagd
handlaget	handlaget
handlappa	handlappa
handlefør	handleført
handnerva	handnerva
handsfree	handsfree
handsydd	handsydd
handvarm	handvarmt
hanglet	hanglet
hanglete	hanglete
hankelaus	hankelaust
hankeløs	hankeløst
hanlig	hanlig
hannlig	hannlig
haploid	haploid
happy	happy
haram	haram
hard	hardt
hardbalen	hardbalent
hardbarka	hardbarka
hardcore	hardcore
hardfør	hardført
hardhendt	hardhendt
hardhuda	hardhuda
hardhudet	hardhudet
hardkokt	hardkokt
hardlynt	hardlynt
hardnakka	hardnakka
hardpakka	hardpakka
hardrådig	hardrådig
haremynt	haremynt
harm	harmt
harmelig	harmelig
harmfull	harmfullt
harmfylt	harmfylt
harmlaus	harmlaust
harmløs	harmløst
harmonisk	harmonisk
harry	harry
harsk	harskt
hasardiøs	hasardiøst
hastig	hastig
hatefull	hatefullt
hatig	hatig
hatsk	hatsk
hauget	hauget
haugete	haugete
haugiansk	haugiansk
hauket	hauket
haukete	haukete
havende	havende
havendes	havendes
havesjuk	havesjukt
havesyk	havesykt
havfersk	havferskt
havgående	havgående
havsalt	havsalt
havsens	havsens
hawaiisk	hawaiisk
hebraisk	hebraisk
hebridisk	hebridisk
hedensk	hedensk
hederlig	hederlig
hedmarksk	hedmarksk
hefta	hefta
heftefri	heftefritt
heftet	heftet
heftig	heftig
hegelsk	hegelsk
heibergsk	heibergsk
heil	heilt
heildøgns	heildøgns
heileid	heileid
heilfeit	heilfeitt
heilfet	heilfett
heilhuga	heilhuga
heilnorsk	heilnorsk
heilsides	heilsides
heilstekt	heilstekt
heilstøpt	heilstøpt
heilsvart	heilsvart
heilårig	heilårig
heilårlig	heilårlig
heilårs	heilårs
heimeavla	heimeavla
heimebakt	heimebakt
heimekjær	heimekjært
heimelaga	heimelaga
heimelagd	heimelagd
heimevant	heimevant
heimfus	heimfust
heimhuga	heimhuga
heimlaus	heimlaust
heimlig	heimlig
heimløs	heimløst
heimslig	heimslig
heimvendt	heimvendt
heisbar	heisbart
heit	heitt
hektisk	hektisk
helaftens	helaftens
heldig	heldig
heldøgns	heldøgns
heleid	heleid
heleiet	heleiet
helfeit	helfeitt
helfet	helfett
helfrelst	helfrelst
helgefri	helgefritt
helhetlig	helhetlig
helhjerta	helhjerta
helhvit	helhvitt
helkort	helkort
helkvit	helkvitt
hellelagt	hellelagt
hellensk	hellensk
hellig	hellig
helmørk	helmørkt
helnorsk	helnorsk
helprivat	helprivat
helproff	helproft
helselaus	helselaust
helseløs	helseløst
helsesvak	helsesvakt
helsides	helsides
helskinna	helskinna
helskåren	helskåret
helskåret	helskåret
helslank	helslankt
helsprø	helsprøtt
helstaut	helstaut
helsteikt	helsteikt
helstekt	helstekt
helstøpt	helstøpt
helstøypt	helstøypt
helsvart	helsvart
helsvensk	helsvensk
heltallig	heltallig
heltent	heltent
heltres	heltres
helårig	helårig
helårlig	helårlig
helårs	helårs
hemmelig	hemmelig
hempeløs	hempeløst
hende	hende
hendelig	hendelig
hendig	hendig
hendt	hendt
hendøende	hendøende
henfallen	henfallent
henfaren	henfarent
hengiven	hengivent
hengslet	hengslet
hengslete	hengslete
henrykt	henrykt
henslengt	henslengt
henstrakt	henstrakt
heppen	heppent
heraldisk	heraldisk
herda	herda
herdbar	herdbart
herdebred	herdebredt
herdebrei	herdebreit
herdet	herdet
herdig	herdig
hereditær	hereditært
heretisk	heretisk
herja	herja
herjet	herjet
herkelig	herkelig
herkulisk	herkulisk
herlig	herlig
hermetisk	hermetisk
heroisk	heroisk
herrelaus	herrelaust
herreløs	herreløst
hersens	hersens
herskesyk	herskesykt
heslig	heslig
hestedum	hestedumt
hestegal	hestegalt
hestevant	hestevant
hevbar	hevbart
hieratisk	hieratisk
himla	himla
himlende	himlende
himmelblå	himmelblått
himmelhøg	himmelhøgt
himmelhøy	himmelhøyt
himmelsk	himmelsk
himmelvid	himmelvidt
hinnet	hinnet
hinnete	hinnete
hinsidig	hinsidig
hipp	hipt
hippen	hippent
hiren	hirent
hispanisk	hispanisk
hissig	hissig
historisk	historisk
hitterst	hitterst
hjelpeløs	hjelpeløst
hjelpsom	hjelpsomt
hjembragt	hjembragt
hjemlaus	hjemlaust
hjemlig	hjemlig
hjemløs	hjemløst
hjemsendt	hjemsendt
hjemvendt	hjemvendt
hjerta	hjerta
hjertegod	hjertegodt
hjertelig	hjertelig
hjerteløs	hjerteløst
hjertens	hjertens
hjerterå	hjerterått
hjertesyk	hjertesykt
hjertesår	hjertesårt
hjonslig	hjonslig
hjulbeint	hjulbeint
hjulbent	hjulbent
hjulforma	hjulforma
hjulpen	hjulpent
hodebåret	hodebåret
hodegal	hodegalt
hodegalen	hodegalent
hodelaus	hodelaust
hodeløs	hodeløst
hodesterk	hodesterkt
hofferdig	hofferdig
hoftelang	hoftelangt
hoggbar	hoggbart
hoggbratt	hoggbratt
holdbar	holdbart
holden	holdent
holdfast	holdfast
holistisk	holistisk
holkinna	holkinna
holkinnet	holkinnet
hollandsk	hollandsk
holograf	holograft
holøyd	holøyd
homerisk	homerisk
honnett	honnett
honorabel	honorabelt
honorær	honorært
hoppklar	hoppklart
hormonal	hormonalt
hormonell	hormonelt
hornaktig	hornaktig
hornet	hornet
hornete	hornete
horribel	horribelt
hott	hott
hovben	hovbent
hoven	hovent
hoverende	hoverende
hovmodig	hovmodig
hudfarga	hudfarga
hudfarget	hudfarget
hudfille	hudfille
hudlaus	hudlaust
hudløs	hudløst
huegæren	huegærent
huga	huga
hugal	hugalt
huggbar	huggbart
hugheil	hugheilt
hugnadsam	hugnadsamt
hugsen	hugsent
hugæren	hugærent
huldren	huldrent
hulkinna	hulkinna
hulkinnet	hulkinnet
hull	hult
hullet	hullet
hullete	hullete
hullsalig	hullsalig
huløyd	huløyd
human	humant
humanitær	humanitært
humid	humid
hummerrød	hummerrødt
humpet	humpet
humpete	humpete
humusrik	humusrikt
humørfylt	humørfylt
humørlaus	humørlaust
humørløs	humørløst
humørsjuk	humørsjukt
humørsyk	humørsykt
hundaktig	hundaktig
hundekald	hundekaldt
hundetro	hundetro
hundreårs	hundreårs
hundsk	hundsk
hungrig	hungrig
hunisk	hunisk
hunlig	hunlig
hunnlig	hunnlig
hurtig	hurtig
husittisk	husittisk
huskald	huskaldt
huslaus	huslaust
huslig	huslig
husløs	husløst
husrein	husreint
husren	husrent
hustren	hustrent
hustrig	hustrig
husvant	husvant
husvarm	husvarmt
husvill	husvilt
hvass	hvast
hvilelaus	hvilelaust
hvileløs	hvileløst
hvit	hvitt
hvitaktig	hvitaktig
hvitbleik	hvitbleikt
hvitblek	hvitblekt
hvitgrønn	hvitgrønt
hvitgul	hvitgult
hvithåra	hvithåra
hvithåret	hvithåret
hvitkledd	hvitkledd
hvitlett	hvitlett
hvitlig	hvitlig
hvitmalt	hvitmalt
hybrid	hybrid
hydrofil	hydrofilt
hydrofob	hydrofobt
hyet	hyet
hyete	hyete
hyggelig	hyggelig
hygienisk	hygienisk
hykkelsk	hykkelsk
hyklersk	hyklersk
hyperrask	hyperraskt
hypnotisk	hypnotisk
hypoid	hypoid
hypp	hypt
hyppig	hyppig
hysterisk	hysterisk
hålket	hålket
hålkete	hålkete
håløygsk	håløygsk
håndfast	håndfast
håndfri	håndfritt
håndgjort	håndgjort
håndholdt	håndholdt
håndlaga	håndlaga
håndlagd	håndlagd
håndlaget	håndlaget
håndnerva	håndnerva
håndrevet	håndrevet
håndsydd	håndsydd
håndvarm	håndvarmt
hånlig	hånlig
hånsk	hånsk
håpefull	håpefullt
håplaus	håplaust
håpløs	håpløst
hård	hårdt
håret	håret
hårete	hårete
hårfager	hårfagert
hårfin	hårfint
hårkledd	hårkledd
hårlaus	hårlaust
hårløs	hårløst
hårsår	hårsårt
hårtynn	hårtynt
hærkledd	hærkledd
høflig	høflig
høgadelig	høgadelig
høgbygd	høgbygd
høgbåren	høgbårent
høggravid	høggravid
høghalsa	høghalsa
høghalset	høghalset
høghælt	høghælt
høglegert	høglegert
høglofta	høglofta
høgloftet	høgloftet
høglys	høglys
høglytt	høglytt
høglærd	høglærd
høgmælt	høgmælt
høgnorsk	høgnorsk
høgre	høgre
høgreist	høgreist
høgrygga	høgrygga
høgrygget	høgrygget
høgrød	høgrødt
høgrøsta	høgrøsta
høgrøstet	høgrøstet
høgsinna	høgsinna
høgsinnet	høgsinnet
høgskafta	høgskafta
høgspent	høgspent
høgstemt	høgstemt
høgtlønna	høgtlønna
høgtlønt	høgtlønt
høgtysk	høgtysk
høgverdig	høgverdig
høgvokst	høgvokst
høgætta	høgætta
høgættet	høgættet
hørbar	hørbart
hørende	hørende
hørlig	hørlig
hørverdig	hørverdig
høstbrun	høstbrunt
høstbær	høstbært
høstgrå	høstgrått
høstgul	høstgult
høstkald	høstkaldt
høstlig	høstlig
høvelig	høvelig
høvisk	høvisk
høyadelig	høyadelig
høybygd	høybygd
høybygget	høybygget
høybåren	høybårent
høygravid	høygravid
høyhalsa	høyhalsa
høyhalset	høyhalset
høyhælt	høyhælt
høylegert	høylegert
høylofta	høylofta
høyloftet	høyloftet
høylys	høylys
høylytt	høylytt
høylærd	høylærd
høymælt	høymælt
høynorsk	høynorsk
høyre	høyre
høyreist	høyreist
høyrygga	høyrygga
høyrygget	høyrygget
høyrød	høyrødt
høyrøsta	høyrøsta
høyrøstet	høyrøstet
høysinna	høysinna
høysinnet	høysinnet
høyskafta	høyskafta
høyspent	høyspent
høystemt	høystemt
høystæret	høystæret
høytlønna	høytlønna
høytlønt	høytlønt
høytysk	høytysk
høyverdig	høyverdig
høyvokst	høyvokst
høyætta	høyætta
høyættet	høyættet
iatrogen	iatrogent
iberisk	iberisk
iblanda	iblanda
iblandet	iblandet
iboende	iboende
ibsensk	ibsensk
ibuende	ibuende
ideal	idealt
ideell	ideelt
idel	idel
idelig	idelig
ideløs	ideløst
idemessig	idemessig
identisk	identisk
iderik	iderikt
idig	idig
idiofon	idiofont
idyllisk	idyllisk
ignorant	ignorant
igrodd	igrodd
iherdig	iherdig
ihjelbitt	ihjelbitt
ihopklemt	ihopklemt
ihopkrøkt	ihopkrøkt
ihuga	ihuga
ikonisk	ikonisk
ilandgått	ilandgått
ildende	ildende
ildfast	ildfast
ildfull	ildfullt
ildnende	ildnende
ildrød	ildrødt
ildsikker	ildsikkert
illegal	illegalt
illegitim	illegitimt
illgjeten	illgjetent
illgrønn	illgrønt
illiberal	illiberalt
illojal	illojalt
illrød	illrødt
illsinna	illsinna
illsint	illsint
illsvien	illsvient
illustre	illustre
ilsk	ilsk
ilsken	ilskent
ilsom	ilsomt
ilter	iltert
imaginal	imaginalt
imaginær	imaginært
imbesil	imbesilt
immanent	immanent
immobil	immobilt
immortell	immortelt
immun	immunt
imperativ	imperativt
imperfekt	imperfekt
imperial	imperialt
imperiøs	imperiøst
implisitt	implisitt
implosiv	implosivt
imposant	imposant
impotent	impotent
impulsiv	impulsivt
inadekvat	inadekvat
inaktiv	inaktivt
inderlig	inderlig
indie	indie
indignert	indignert
indigo	indigo
indigoblå	indigoblått
indirekte	indirekte
indisk	indisk
indiskre	indiskre
indoarisk	indoarisk
indolent	indolent
induktiv	induktivt
inert	inert
infam	infamt
infantil	infantilt
infeksiøs	infeksiøst
inferiør	inferiørt
infertil	infertilt
infinitt	infinitt
infisert	infisert
infrarød	infrarødt
inhabil	inhabilt
inherent	inherent
inhuman	inhumant
initial	initialt
initiell	initielt
inkapabel	inkapabelt
inklusiv	inklusivt
inkoativ	inkoativt
innabords	innabords
innabygds	innabygds
innabys	innabys
innadørs	innadørs
innariks	innariks
innariksk	innariksk
innbakt	innbakt
innballa	innballa
innbarka	innbarka
innbarket	innbarket
innbilsk	innbilsk
innbilt	innbilt
innbitt	innbitt
innblåst	innblåst
innbrent	innbrent
innbretta	innbretta
innbudt	innbudt
innbunden	innbundet
innbundet	innbundet
innbydd	innbydd
innbygd	innbygd
innbygget	innbygget
innbyrdes	innbyrdes
innebygd	innebygd
inneklemt	inneklemt
innelukka	innelukka
innelåst	innelåst
innemurt	innemurt
innenbys	innenbys
innendørs	innendørs
innenriks	innenriks
innerst	innerst
innesnødd	innesnødd
innett	innett
innfallen	innfallent
innfarga	innfarga
innfarget	innfarget
innfelt	innfelt
innfletta	innfletta
innfløkt	innfløkt
innful	innfult
innfødt	innfødt
inngifta	inngifta
inngnidd	inngnidd
inngrodd	inngrodd
inngående	inngående
innhogd	innhogd
innhol	innholt
innhugd	innhugd
innhugget	innhugget
innhul	innhult
innkilt	innkilt
innkjøpt	innkjøpt
innklemt	innklemt
innklint	innklint
innknepen	innknepet
innknepet	innknepet
innkokt	innkokt
innlagt	innlagt
innlandsk	innlandsk
innlasta	innlasta
innlastet	innlastet
innleid	innleid
innlånt	innlånt
innlåst	innlåst
innlært	innlært
innløpt	innløpt
innmari	innmari
innmarisk	innmarisk
innmeldt	innmeldt
innovativ	innovativt
innpakka	innpakka
innpakket	innpakket
innramma	innramma
innrammet	innrammet
innridd	innridd
innrigga	innrigga
innrigget	innrigget
innrissa	innrissa
innrisset	innrisset
innrøkt	innrøkt
innrøyket	innrøyket
innrøykt	innrøykt
innsalva	innsalva
innsalvet	innsalvet
innsatt	innsatt
innsausa	innsausa
innsauset	innsauset
innskutt	innskutt
innslått	innslått
innsmugla	innsmugla
innsmurt	innsmurt
innsnevra	innsnevra
innsnørt	innsnørt
innspart	innspart
innspilt	innspilt
innstrødd	innstrødd
innsunket	innsunket
innsvinga	innsvinga
innsvingt	innsvingt
innsvøpt	innsvøpt
innsydd	innsydd
innsåpa	innsåpa
innsåpet	innsåpet
innsåpt	innsåpt
inntatt	inntatt
inntauet	inntauet
inntjent	inntjent
inntrykt	inntrykt
inntulla	inntulla
inntullet	inntullet
inntørka	inntørka
inntørket	inntørket
innvendig	innvendig
innvevd	innvevd
innvevet	innvevet
innvia	innvia
innvidd	innvidd
innviet	innviet
innvigd	innvigd
innvikla	innvikla
innviklet	innviklet
innvortes	innvortes
insestuøs	insestuøst
insinuant	insinuant
insolvent	insolvent
instabil	instabilt
insulær	insulært
intakt	intakt
integral	integralt
intens	intenst
intensiv	intensivt
interiør	interiørt
intern	internt
intrigant	intrigant
intrikat	intrikat
introvert	introvert
intuitiv	intuitivt
inuittisk	inuittisk
invariant	invariant
invers	inverst
ionisk	ionisk
ionogen	ionogent
irakisk	irakisk
iraksk	iraksk
iransk	iransk
irokesisk	irokesisk
ironisk	ironisk
irreal	irrealt
irreell	irreelt
irregulær	irregulært
irret	irret
irrete	irrete
irrgrønn	irrgrønt
irritabel	irritabelt
irsk	irsk
irskfødt	irskfødt
isbelagt	isbelagt
isblå	isblått
isende	isende
iset	iset
isete	isete
isfri	isfritt
isglatt	isglatt
isgrønn	isgrønt
isgående	isgående
iskald	iskaldt
islagt	islagt
islandsk	islandsk
isobar	isobart
isofonisk	isofonisk
isokron	isokront
isomorf	isomorft
isoterm	isotermt
isotonisk	isotonisk
isotop	isotopt
isotopisk	isotopisk
isotrop	isotropt
ispedd	ispedd
isprengt	isprengt
isskurt	isskurt
istrødd	istrødd
italiensk	italiensk
italisk	italisk
iterativ	iterativt
ivevd	ivevd
ivoriansk	ivoriansk
ivrig	ivrig
iværende	iværende
jadegrønn	jadegrønt
jaktbar	jaktbart
jakutisk	jakutisk
jalla	jalla
jamaldra	jamaldra
jamaldret	jamaldret
jambisk	jambisk
jambred	jambredt
jambrei	jambreit
jambyrdig	jambyrdig
jamførbar	jamførbart
jamgammal	jamgammalt
jamgammel	jamgammelt
jamgod	jamgodt
jamhøg	jamhøgt
jamhøy	jamhøyt
jamlang	jamlangt
jamlik	jamlikt
jammerlig	jammerlig
jamn	jamt
jamsides	jamsides
jamspelt	jamspelt
jamsterk	jamsterkt
jamstor	jamstort
jamtjukk	jamtjukt
jamtykk	jamtykt
japansk	japansk
jappet	jappet
jappete	jappete
jasket	jasket
jaskete	jaskete
jattet	jattet
jattete	jattete
jentegal	jentegalt
jentete	jentete
jernhard	jernhardt
jetdrevet	jetdrevet
jettestor	jettestort
jevn	jevnt
jevnaldra	jevnaldra
jevnbred	jevnbredt
jevngod	jevngodt
jevnhøg	jevnhøgt
jevnhøy	jevnhøyt
jevnlang	jevnlangt
jevnlik	jevnlikt
jevnsides	jevnsides
jevnspilt	jevnspilt
jevnsterk	jevnsterkt
jevnstor	jevnstort
jevntjukk	jevntjukt
jevntykk	jevntykt
jiddisch	jiddisch
jiddisk	jiddisk
jonisk	jonisk
jordansk	jordansk
jordet	jordet
jordete	jordete
jordfarga	jordfarga
jordfast	jordfast
jordisk	jordisk
jordlaus	jordlaust
jordlig	jordlig
jordløs	jordløst
jordnær	jordnært
jordslått	jordslått
jordvendt	jordvendt
joulesk	joulesk
jovial	jovialt
judeisk	judeisk
judisiell	judisielt
juglet	juglet
juglete	juglete
julefri	julefritt
julerød	julerødt
julestemt	julestemt
juliansk	juliansk
junior	junior
junonisk	junonisk
juraisk	juraisk
juridisk	juridisk
justerbar	justerbart
juvenil	juvenilt
jyllandsk	jyllandsk
jysk	jysk
jålet	jålet
jålete	jålete
jækla	jækla
jæklig	jæklig
jærsk	jærsk
kabylsk	kabylsk
kaffebrun	kaffebrunt
kafkask	kafkask
kakifarga	kakifarga
kakikledd	kakikledd
kakofon	kakofont
kakuminal	kakuminalt
kald	kaldt
kaldeisk	kaldeisk
kaldlig	kaldlig
kaldskjør	kaldskjørt
kaldslig	kaldslig
kaldsvett	kaldsvett
kaledonsk	kaledonsk
kalkhvit	kalkhvitt
kalkrik	kalkrikt
kalkunsk	kalkunsk
kalorifri	kalorifritt
kaloririk	kaloririkt
kalvbeint	kalvbeint
kalvbent	kalvbent
kalvdiger	kalvdigert
kalvet	kalvet
kalvete	kalvete
kalvinsk	kalvinsk
kambial	kambialt
kambrisk	kambrisk
kamerunsk	kamerunsk
kamforma	kamforma
kamformet	kamformet
kampglad	kampglad
kampklar	kampklart
kamptrett	kamptrett
kamptrøtt	kamptrøtt
kanadisk	kanadisk
kanarigul	kanarigult
kanarisk	kanarisk
kanelbrun	kanelbrunt
kanon	kanon
kanonbra	kanonbra
kanonisk	kanonisk
kantabel	kantabelt
kantet	kantet
kantete	kantete
kantiansk	kantiansk
kanåneisk	kanåneisk
kaotisk	kaotisk
kapabel	kapabelt
kapillær	kapillært
kapital	kapitalt
kaprisiøs	kaprisiøst
kaputt	kaputt
kardansk	kardansk
karelsk	karelsk
karensk	karensk
karibisk	karibisk
kariøs	kariøst
karminrød	karminrødt
karolinsk	karolinsk
karrig	karrig
karrigul	karrigult
karsk	karskt
karslig	karslig
kartagisk	kartagisk
kartesisk	kartesisk
kasjmirsk	kasjmirsk
kassabel	kassabelt
kastelaus	kastelaust
kasteløs	kasteløst
katalansk	katalansk
katalonsk	katalonsk
katodisk	katodisk
katolsk	katolsk
kattaktig	kattaktig
kattemjuk	kattemjukt
kattemyk	kattemykt
kaukasisk	kaukasisk
kaukasoid	kaukasoid
kausal	kausalt
kausativ	kausativt
kaustisk	kaustisk
kaut	kaut
kavernøs	kavernøst
kavet	kavet
kavete	kavete
kavlet	kavlet
kavlete	kavlete
keen	keen
keik	keikt
keiket	keiket
keikete	keikete
keisam	keisamt
keiserlig	keiserlig
keitet	keitet
keitete	keitete
keiv	keivt
keivelig	keivelig
keiven	keivent
keivet	keivet
keivete	keivete
keivhendt	keivhendt
keltisk	keltisk
kenyansk	kenyansk
keramisk	keramisk
khmerisk	khmerisk
kilden	kildent
kileforma	kileforma
kilen	kilent
kimbrisk	kimbrisk
kinesisk	kinesisk
kinetisk	kinetisk
kinkig	kinkig
kinky	kinky
kipen	kipent
kippskodd	kippskodd
kirgisisk	kirgisisk
kirkelig	kirkelig
kirurgisk	kirurgisk
kisholdig	kisholdig
kislen	kislent
kisteglad	kisteglad
kitlen	kitlent
kitsch	kitsch
kivaktig	kivaktig
kjapp	kjapt
kjed	kjedt
kjedelig	kjedelig
kjedsom	kjedsomt
kjekk	kjekt
kjekkesen	kjekkesen
kjelket	kjelket
kjelkete	kjelkete
kjemisk	kjemisk
kjempebra	kjempebra
kjempedum	kjempedumt
kjempedyr	kjempedyrt
kjempefin	kjempefint
kjempegod	kjempegodt
kjempegøy	kjempegøy
kjempehøy	kjempehøyt
kjempekul	kjempekult
kjempesøt	kjempesøtt
kjempevid	kjempevidt
kjennbar	kjennbart
kjennelig	kjennelig
kjent	kjent
kjeppen	kjeppent
kjepphøg	kjepphøgt
kjepphøy	kjepphøyt
kjerneløs	kjerneløst
kjerubisk	kjerubisk
kjesken	kjeskent
kjettersk	kjettersk
kjip	kjipt
kjælen	kjælent
kjær	kjært
kjærlig	kjærlig
kjølig	kjølig
kjøn	kjønt
kjøpeglad	kjøpeglad
kjørbar	kjørbart
kjørt	kjørt
kjøttfri	kjøttfritt
kjøttfull	kjøttfullt
kjøttrik	kjøttrikt
klabbet	klabbet
klabbete	klabbete
klaken	klakent
klaket	klaket
klakete	klakete
klam	klamt
klampet	klampet
klampete	klampete
klangfull	klangfullt
klanglaus	klanglaust
klanglig	klanglig
klangløs	klangløst
klangrik	klangrikt
klar	klart
klarsynt	klarsynt
klartenkt	klartenkt
klarøyd	klarøyd
klaset	klaset
klasete	klasete
klasseløs	klasseløst
klassisk	klassisk
klebrig	klebrig
kledelig	kledelig
kleggen	kleggent
kleimen	kleiment
klein	kleint
kleinslig	kleinslig
kleis	kleist
kleiset	kleiset
kleisete	kleisete
klekk	klekt
klekkelig	klekkelig
klen	klent
klengen	klengent
klenget	klenget
klengete	klengete
kleppet	kleppet
kleppete	kleppete
kleptoman	kleptomant
klerikal	klerikalt
klesset	klesset
klessete	klessete
klien	klient
klikkbar	klikkbart
klimatisk	klimatisk
klinet	klinet
klinete	klinete
klinisk	klinisk
klink	klink
klinkbygd	klinkbygd
klinkhard	klinkhardt
klissbløt	klissbløtt
klissen	klissent
klisset	klisset
klissete	klissete
klok	klokt
klokkeren	klokkerent
klomset	klomset
klomsete	klomsete
kloret	kloret
klorfri	klorfritt
kloss	kloss
klosset	klosset
klossete	klossete
kloven	klovent
klubbet	klubbet
klubbete	klubbete
klubbløs	klubbløst
kludret	kludret
kludrete	kludrete
klukk	klukt
klumpet	klumpet
klumpete	klumpete
klums	klums
klumset	klumset
klumsete	klumsete
klundret	klundret
klundrete	klundrete
klungret	klungret
klungrete	klungrete
klunset	klunset
klunsete	klunsete
kluntet	kluntet
kluntete	kluntete
klusil	klusilt
klusset	klusset
klussete	klussete
klynket	klynket
klynkete	klynkete
klypen	klypent
klyset	klyset
klysete	klysete
klåfingra	klåfingra
kløftet	kløftet
kløftete	kløftete
kløkk	kløkt
kløktig	kløktig
klønet	klønet
klønete	klønete
kløv	kløvt
kløvbar	kløvbart
kløyen	kløyent
kløyv	kløyvt
kløyva	kløyva
kløyvbar	kløyvbart
knall	knalt
knallblå	knallblått
knallbra	knallbra
knallgod	knallgodt
knallgul	knallgult
knallhard	knallhardt
knallrød	knallrødt
knalltøff	knalltøft
knapp	knapt
knappeløs	knappeløst
knartet	knartet
knartete	knartete
knas	knast
knastørr	knastørt
knauset	knauset
knausete	knausete
knebøyd	knebøyd
knebøyet	knebøyet
knedjup	knedjupt
knedyp	knedypt
knegen	knegent
kneiket	kneiket
kneikete	kneikete
knekort	knekort
knelang	knelangt
knepen	knepent
knesid	knesidt
kneskadet	kneskadet
knipal	knipalt
knipen	knipent
knipsam	knipsamt
knipsk	knipsk
knirkefri	knirkefritt
knivskarp	knivskarpt
knockout	knockout
knoket	knoket
knokete	knokete
knoklet	knoklet
knoklete	knoklete
knoppet	knoppet
knoppete	knoppete
knortet	knortet
knortete	knortete
knotet	knotet
knotete	knotete
knubbet	knubbet
knubbete	knubbete
knudret	knudret
knudrete	knudrete
knugende	knugende
knultret	knultret
knultrete	knultrete
knuselig	knuselig
knusende	knusende
knusktørr	knusktørt
knuslet	knuslet
knuslete	knuslete
knutet	knutet
knutete	knutete
knuvlet	knuvlet
knuvlete	knuvlete
knystet	knystet
knøen	knøent
knølen	knølent
knøten	knøtent
koaksial	koaksialt
kobberrød	kobberrødt
koboltblå	koboltblått
kognatisk	kognatisk
kognitiv	kognitivt
koherent	koherent
kohesiv	kohesivt
kokeekte	kokeekte
kokekte	kokekte
kokemalt	kokemalt
kokende	kokende
kokett	kokett
kokheit	kokheitt
kokhet	kokhett
kokmalt	kokmalt
kokos	kokos
koksgrå	koksgrått
kokvarm	kokvarmt
kold	koldt
kolerisk	kolerisk
koliform	koliformt
kollegial	kollegialt
kollektiv	kollektivt
kollet	kollet
kollete	kollete
kolloid	kolloid
kolloidal	kolloidalt
kolonial	kolonialt
kolossal	kolossalt
komisk	komisk
kommers	kommerst
kommunal	kommunalt
komorisk	komorisk
kompakt	kompakt
kompetent	kompetent
kompleks	komplekst
komplett	komplett
konform	konformt
konfus	konfust
konge	konge
kongeblå	kongeblått
kongelig	kongelig
kongenial	kongenialt
kongruent	kongruent
konisk	konisk
konjugal	konjugalt
konjugert	konjugert
konk	konk
konkav	konkavt
konklusiv	konklusivt
konkret	konkret
konkurs	konkurs
konneks	konnekst
konnektiv	konnektivt
konsis	konsist
konstant	konstant
konsulær	konsulært
kontant	kontant
kontra	kontra
kontrari	kontrari
kontrær	kontrært
konturløs	konturløst
konveks	konvekst
konvektiv	konvektivt
konvers	konverst
kopen	kopent
kopiøs	kopiøst
kopparret	kopparret
kopperrød	kopperrødt
koptisk	koptisk
kordial	kordialt
koreansk	koreansk
korintisk	korintisk
korka	korka
kornblå	kornblått
kornet	kornet
kornete	kornete
korngul	korngult
kornisk	kornisk
korny	korny
korporlig	korporlig
korrekt	korrekt
korrektiv	korrektivt
korrosiv	korrosivt
korrupt	korrupt
korslagt	korslagt
kort	kort
kortarma	kortarma
kortarmet	kortarmet
kortbeint	kortbeint
kortbent	kortbent
kortbølga	kortbølga
korterma	korterma
kortermet	kortermet
kortfatta	kortfatta
korthalsa	korthalsa
korthodet	korthodet
korthogd	korthogd
korthugd	korthugd
korthåra	korthåra
korthåret	korthåret
kortklipt	kortklipt
kortkort	kortkort
kortliva	kortliva
kortlivet	kortlivet
kortpusta	kortpusta
kortreist	kortreist
kortsikts	kortsikts
kortsynt	kortsynt
korttenkt	korttenkt
korttids	korttids
kortvarig	kortvarig
kortvokst	kortvokst
koscher	koschert
koselig	koselig
kosmetisk	kosmetisk
kosmisk	kosmisk
kosovisk	kosovisk
kostbar	kostbart
kostelig	kostelig
kovariant	kovariant
krafsen	krafsent
kraftfull	kraftfullt
kraftfylt	kraftfylt
kraftig	kraftig
kraftlaus	kraftlaust
kraftløs	kraftløst
kraket	kraket
krakete	krakete
krakilsk	krakilsk
kram	kramt
kranglet	kranglet
kranglete	kranglete
krank	krankt
krapp	krapt
kraslen	kraslent
kraveløs	kraveløst
kravfull	kravfullt
kravlaus	kravlaust
kravløs	kravløst
kravstor	kravstort
kreativ	kreativt
kredibel	kredibelt
kremaktig	kremaktig
kremfarga	kremfarga
kremgul	kremgult
kremhvit	kremhvitt
kremkvit	kremkvitt
kreolsk	kreolsk
krepp	krept
kreppen	kreppent
kresen	kresent
kretaisk	kretaisk
